employeeId,role,skillLevel,status,wage
D1,designer,high,Resigned,45
D2,designer,high,Resigned,45
D3,designer,high,Active,45
D4,designer,low,Resigned,30
D5,designer,low,Resigned,30
M6,maker,high,Active,45
M7,maker,high,Active,45
M8,maker,high,Resigned,45
M9,maker,high,Resigned,45
M10,maker,high,Active,45
M11,maker,low,Active,30
M12,maker,low,Active,30
M13,maker,low,Active,30
D14,designer,low,Resigned,30
M15,maker,high,Resigned,45
D16,designer,low,Resigned,30
D17,designer,low,Resigned,30
D18,designer,high,Resigned,45
M19,maker,high,Active,45
M20,maker,high,Active,45
D21,designer,low,Active,30
D22,designer,low,Active,30
D23,designer,high,Resigned,45
D24,designer,high,Active,45
